"lambda","borne_a","censoring_rate","pct_cancer","n_deaths_cancer","n_deaths_other","time_t","absolute_bias","bias","rmse","estimate_sd","estimation_error_sd","mean_se","ecr","se_calibration_ratio"
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,12,0.0341004852961505,0.0341004852961505,0.0549945331288767,0.0431615363547393,0.0431673371384634,0.0371723265418268,0.836,0.861121602719968
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,12.5,0.0347656867216886,0.0347656867216886,0.0613031342830084,0.0505137172549266,0.0505170592271851,0.0416408247018412,0.846,0.824292334883832
0.005,Inf,0.5483865,0.108691877520841,98.174,805.053,13,0.0395178149139732,0.0395178149139732,0.073553673991982,0.0620598162715326,0.0620672022870652,0.0460579923114459,0.851,0.742066512011038
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,1,0.00144194005617812,0.00144194005617812,0.00459746047942232,0.00436562348960287,0.00436766851563871,0.00438330900986427,0.93,1.00358097098476
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,4,0.00669799800540958,0.00669799800540958,0.0120214636492562,0.00998151059454481,0.00998760047023666,0.00979657283824268,0.877,0.980873520865873
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,7,0.0137405177529794,0.0137405177529794,0.0203596292505332,0.015020837231155,0.015031254562176,0.0154064839582595,0.842,1.02496327864926
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,7.5,0.0142187581383855,0.0142187581383855,0.0213507234353472,0.0159239927877737,0.0159353143193737,0.0165991833165314,0.854,1.04166023862803
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,8,0.0166403195582651,0.0166403195582651,0.0239515324015081,0.0172215009069183,0.0172357982734028,0.0178435161521547,0.848,1.03525905032723
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,8.5,0.0173650525278367,0.0173650525278367,0.0257160447529771,0.0189652820568155,0.0189770924664732,0.019256256210486,0.838,1.01471056456651
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,9,0.0197576924763031,0.0197576924763031,0.0286618304216571,0.0207648496080807,0.020774158871263,0.0208401581812274,0.829,1.00317699072071
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,9.5,0.0206470456790236,0.0206470456790236,0.0307784023943168,0.0228234610562443,0.0228370551902946,0.0226356902428338,0.832,0.991182534447507
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,10,0.0241257651690148,0.0241257651690148,0.0353832969064922,0.0258830489577412,0.0258958635834618,0.0244988260748756,0.799,0.94605171192366
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,10.5,0.0251730219088828,0.0251730219088828,0.0386777053520362,0.0293608342036973,0.0293793636125788,0.0268510507055039,0.81,0.913942557081379
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,11,0.0287759832455922,0.0287759832455922,0.0436887527307168,0.0328782214212135,0.0328896888864909,0.0296515393526721,0.813,0.901545145501549
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,11.5,0.0296069977800515,0.0296069977800515,0.0478655253758442,0.037618866329213,0.037629113092255,0.0327385249122052,0.838,0.870031797771592
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,12,0.0331436614217772,0.0331436614217772,0.053946468136198,0.04257992920883,0.0425855922184136,0.036698872589091,0.844,0.861767341425458
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,12.5,0.0336813601159022,0.0336813601159022,0.0600212578672689,0.0497008109759899,0.0497050094525369,0.0410017688517018,0.852,0.824902143733707
0.007,Inf,0.535374,0.146516990719755,136.144,793.108,13,0.038019865537008,0.038019865537008,0.0720147368256876,0.0611820814580096,0.0611911472446955,0.0453289472322012,0.851,0.740776227824861
0.01,Inf,0.5164985,0.198129416199695,191.582,775.421,1,0.00141056757080473,0.00141056757080473,0.00472764593336864,0.00451182278892557,0.00451456714602929,0.00454701766577154,0.925,1.00718795815692
